Label,Count,Wing_Area
MP_MalKopp1.1_B3_2_F__01.tif,100,B3
MP_MalKopp1.1_B3_2_F__01.tif,116,C1
MP_MalKopp1.1_B3_2_F__01.tif,95,C2
MP_MalKopp1.1_B3_2_F__01.tif,115,C3
MP_MalKopp1.1_B3_2_F__01.tif,159,E1
MP_MalKopp1.1_B3_2_F__01.tif,130,E2
MP_MalKopp1.1_B3_2_F__01.tif,121,F1
MP_MalKopp1.1_B3_2_F__01.tif,103,F2
MP_MalKopp1.1_B3_2_F__01.tif,114,F3
MP_MalKopp1.1_B3_2_F__01.tif,128,G1
MP_MalKopp1.1_B3_2_F__01.tif,112,G2
MP_MalKopp1.1_B3_2_F__01.tif,116,G3
MP_MalKopp1.1_B3_2_F__02.tif,84,A1
MP_MalKopp1.1_B3_2_F__02.tif,80,A2
MP_MalKopp1.1_B3_2_F__02.tif,86,B1
MP_MalKopp1.1_B3_2_F__02.tif,82,B2
MP_MalKopp1.1_B3_2_F__02.tif,92,B3
MP_MalKopp1.1_B3_2_F__02.tif,76,C1
MP_MalKopp1.1_B3_2_F__02.tif,96,C2
MP_MalKopp1.1_B3_2_F__02.tif,103,C3
MP_MalKopp1.1_B3_2_F__02.tif,89,E1
MP_MalKopp1.1_B3_2_F__02.tif,101,E2
MP_MalKopp1.1_B3_2_F__02.tif,102,F1
MP_MalKopp1.1_B3_2_F__02.tif,87,F2
MP_MalKopp1.1_B3_2_F__02.tif,115,F3
MP_MalKopp1.1_B3_2_F__02.tif,128,G1
MP_MalKopp1.1_B3_2_F__02.tif,75,G2
MP_MalKopp1.1_B3_2_F__02.tif,121,G3
MP_MalKopp1.1_B3_2_F__03.tif,85,A1
MP_MalKopp1.1_B3_2_F__03.tif,72,A2
MP_MalKopp1.1_B3_2_F__03.tif,86,B1
MP_MalKopp1.1_B3_2_F__03.tif,82,B2
MP_MalKopp1.1_B3_2_F__03.tif,103,B3
MP_MalKopp1.1_B3_2_F__03.tif,77,C1
MP_MalKopp1.1_B3_2_F__03.tif,92,C2
MP_MalKopp1.1_B3_2_F__03.tif,114,C3
MP_MalKopp1.1_B3_2_F__03.tif,94,E1
MP_MalKopp1.1_B3_2_F__03.tif,97,E2
MP_MalKopp1.1_B3_2_F__03.tif,96,F1
MP_MalKopp1.1_B3_2_F__03.tif,85,F2
MP_MalKopp1.1_B3_2_F__03.tif,108,F3
MP_MalKopp1.1_B3_2_F__03.tif,120,G1
MP_MalKopp1.1_B3_2_F__03.tif,86,G2
MP_MalKopp1.1_B3_2_F__03.tif,121,G3
MP_MalKopp1.1_B3_2_F__04.tif,83,A1
MP_MalKopp1.1_B3_2_F__04.tif,82,A2
MP_MalKopp1.1_B3_2_F__04.tif,89,B1
MP_MalKopp1.1_B3_2_F__04.tif,85,B2
MP_MalKopp1.1_B3_2_F__04.tif,99,B3
MP_MalKopp1.1_B3_2_F__04.tif,82,C1
MP_MalKopp1.1_B3_2_F__04.tif,94,C2
